OS,DESCRIÇÃO_DA_TAREFA,LOCAL,STATUS,TIPO_DE_MANUTENÇÃO,DATA,CUSTO
5530556,COLAGEM DE FREIO DO AGV,TIME 1,CONCLUÍDA,Corretiva,2026-01-01,1850
5530299,REVISÃO DE CÂMBIO DO MÓDULO DE CONTROLE,TIME 4,CONCLUÍDA,Corretiva,2026-01-01,1540
5530341,MEDIÇÃO DE VIBRAÇÃO DA AREA AZUL,ÁREA VERMELHA,CONCLUÍDA,Preventiva,2026-01-01,460
5530406,SUBSTITUIÇÃO DE FIAÇÃO DO CÂMBIO,SETOR C,CONCLUÍDA,Corretiva,2026-01-01,2550
5530654,COLOCAÇÃO DE ESTEIRA DO BATERIA,ÁREA VERDE,CONCLUÍDA,Corretiva,2026-01-01,2280
5529835,ELIMINAÇÃO DE SUSPENSÃO DO AGV,LINHA 2,CONCLUÍDA,Corretiva,2026-01-01,3280
5530587,REMOÇÃO DE SAPATA DO CORREIA TRANSPORTADORA,TIME 2,CONCLUÍDA,Corretiva,2026-01-01,2940
5530287,REVISÃO DE TRANSMISSÃO DO SENSOR ÓPTICO,ÁREA LARANJA,CONCLUÍDA,Corretiva,2026-01-01,2000
5530148,REMOÇÃO DE PAINEL DO MOTOR ELÉTRICO,TIME 2,CONCLUÍDA,Corretiva,2026-01-01,2860
5530676,MEDIÇÃO DE VIBRAÇÃO DE PINTURA DO SISTEMA PNEUMÁTICO,ÁREA LARANJA,CONCLUÍDA,Preventiva,2026-01-01,350
5530241,REPARO DE FREIO DO BOMBA HIDRÁULICA,LINHA 1,CONCLUÍDA,Corretiva,2026-01-01,1280
5530574,AJUSTE DE SAPATA DO SAPATA,SETOR A,CONCLUÍDA,Preventiva,2026-01-01,670
5530361,RETIFICAÇÃO DE SAPATA DO MÓDULO DE CONTROLE,DEPÓSITO,CONCLUÍDA,Corretiva,2026-01-01,2780
5530639,VERIFICAÇÃO DE NÍVEL DA AREA AZUL,GARAGEM,CONCLUÍDA,Preventiva,2026-01-01,380
